"Colour","Name","Price","size6","size8","size10","size12","size14","size16","size18","Date"
"Reds","Curve Crepe Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Pinks","Postella Textured Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Pinks","Darcia-May Bow Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","a_Feb_16"
"Other","Nikki Jacquard Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Pinks","Roccabella Jacquard Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Blues","Raliera Texture Short Dress",150,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Reds","Jasmin Lace Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Other","Palma Rose Dress",179,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Rome Print Jagger Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Blues","Jannisha Jacquard Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Jennie Lace Shift Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Greens","Harven Midi Dress",195,"low stock","in stock","in stock","in stock","in stock","low stock","low stock","a_Feb_16"
"Other","Sharon Floral Skirt Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Jennie Lace Shift Dress Petite",129,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Other","Peony Print Loula Dress",149,"not in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Pinks","Mia Rae Maxi Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Pinks","Lori Lee Lace Short Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Pinks","Lori Lee Lace Maxi Dress",185,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Pinks","Lori Lee Lace Maxi Dress Sl",185,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Pinks","Lori Lee Lace Maxi Dress Sl",185,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
